0	0.028000
1	0.280000
2	2.800000
3	0.016000
4	0.160000
5	1.600000
6	0.004000
7	0.040000
8	0.400000
9	0.120000
10	1.200000
11	11.999997
12	0.060000
13	0.600000
14	6.000000
15	0.020000
16	0.200000
17	2.000000
18	1.439996
19	14.399988
20	144.000092
21	0.720001
22	7.199995
23	72.000130
24	0.208000
25	2.079999
26	20.799990
27	0.100800
28	1.008000
29	10.080001
30	0.057600
31	0.576000
32	5.760000
33	0.014400
34	0.144000
35	1.440000
36	0.432000
37	4.320000
38	43.199989
39	0.216000
40	2.160000
41	21.600002
42	0.072000
43	0.720000
44	7.200000
45	5.183984
46	51.839954
47	518.400330
48	2.592003
49	25.919979
50	259.200470
51	0.748800
52	7.487997
53	74.879959
